control_number,n_lines,n_taxa,n_class,n_species,qty_total,value_total,value_missing,taxa,country_origin,country_imp_exp,port,purpose,source,year,month,target
2000100756,2,2,1,2,3013,2037,0,fish,PH,PH,SF,T,W,2000,3,0
2000102465,12,2,2,12,534,3272,0,reptile,GU,GU,MI,T,W,2000,10,0
2000108360,10,2,2,5,2234,47659,0,reptile,US,ES,MI,T,W,2000,12,0
2000121330,5,1,1,5,5,0,0,mammal,NZ,NZ,SF,H,W,2000,6,0
2000121425,1,1,1,1,380,4315,0,fish,MY,MY,SF,T,C,2000,6,0
2000148011,1,1,1,1,2,50,0,bird,FR,FR,MI,P,C,2000,10,0
2000149534,1,1,1,1,1161,1700,0,insect,ID,ID,SF,T,W,2000,4,0
2000149539,1,1,1,1,5513,4549,0,insect,PE,PE,SF,T,W,2000,1,0
2000166852,1,1,1,1,260,735,0,insect,CR,CR,MI,E,C,2000,10,0
2000166895,1,1,1,1,207,499,0,insect,SV,SV,MI,Z,U,2000,2,0
2000166937,8,1,1,8,129,1840,0,reptile,SR,SR,MI,T,W,2000,11,0
2000166954,1,1,1,1,2000,1000,0,reptile,CO,CO,MI,T,C,2000,10,0
2000166977,8,1,1,7,8,2404,0,mammal,ZA,ZA,MI,P,U,2000,9,0
2000167123,2,2,2,2,2,90,0,bird,ZA,ZA,MI,P,R,2000,10,0
2000167132,1,1,1,1,736,415,0,shell,HN,HN,MI,T,U,2000,4,0
2000167136,1,1,0,1,3660,3421,0,shell,CN,CN,MI,T,U,2000,10,0
2000167167,15,3,2,15,533,2334,0,coral,ID,ID,MI,T,W,2000,6,0
2000167172,1,1,1,1,160,160,0,insect,EC,EC,MI,E,C,2000,10,0
2000167178,1,1,1,1,305,795,0,insect,CR,CR,MI,E,C,2000,10,0
2000167206,1,1,1,1,325,4380,0,other,FR,FR,MI,T,W,2000,12,0
2000167283,1,1,1,1,4902,1811,0,fish,CO,CO,MI,T,U,2000,3,0
2000167316,1,1,1,1,200,40,0,insect,EC,EC,MI,T,C,2000,1,0
2000167380,1,1,0,1,54534,21018,0,shell,PH,PH,MI,T,W,2000,11,0
2000167384,4,1,1,4,4,609,0,mammal,ZA,ZA,MI,H,U,2000,10,0
2000167439,1,1,1,1,21019,1291,0,fish,PE,PE,MI,T,W,2000,1,0
2000167444,2,2,1,2,740,776,0,fish,ID,ID,MI,T,W,2000,1,0
2000167464,4,1,1,4,243,4437,0,bird,PE,PE,MI,T,W,2000,6,0
2000167502,5,2,2,5,800,5925,0,reptile,NI,NI,MI,T,C,2000,6,0
2000167728,2,2,1,2,2045,1189,0,fish,PH,PH,MI,T,W,2000,6,0
2000167832,17,2,2,13,319,1867,0,reptile,GY,GY,MI,T,W,2000,1,0
2000167902,8,3,3,8,367,1847,0,reptile,GH,GH,MI,T,W,2000,5,0
2000169139,7,3,3,6,334223,25858,0,fish,PH,PH,MI,T,W,2000,5,0
2000172916,1,1,0,1,3853,5607,0,shell,PH,PH,MI,T,U,2000,11,0
2000173040,18,3,2,18,713,1655,0,coral,ID,ID,MI,T,W,2000,11,0
2000173283,4,2,1,4,190,1527,0,shell,MH,MH,MI,T,U,2000,11,0
2000190251,1,1,1,1,1,0,0,mammal,AR,AR,SF,H,W,2000,2,0
2000191286,6,1,1,4,78,8560,0,bird,SG,SG,LA,T,W,2000,12,0
2000194255,1,1,1,1,1,600,0,bird,XX,XX,MI,,A,2000,8,1
2000219882,1,1,1,1,220,366,0,insect,MY,MY,LA,Z,W,2000,7,0
2000257009,8,2,2,8,625,380,0,amphibian,TZ,TZ,MI,T,W,2000,5,0
2000257023,5,1,1,5,120,1270,0,bird,PY,PY,MI,T,U,2000,9,0
2000257131,1,1,1,1,3500,9625,0,reptile,SV,SV,MI,T,C,2000,2,0
2000264228,1,1,1,1,3,124,0,bird,ZA,ZA,MI,T,W,2000,5,0
2000266219,2,1,1,1,6,7204,0,mammal,DK,HK,NY,T,R,2000,9,0
2000281120,3,2,2,3,197,2000,0,mammal,ZM,ZM,DN,T,W,2000,12,0
2000282785,1,1,1,1,1,0,0,mammal,CA,CA,IF,H,W,2000,9,0
2000321272,2,1,1,1,74,18521,0,mammal,DK,XX,HA,,,2000,9,0
2000339282,2,1,1,2,2,2,0,mammal,VN,VN,NY,S,W,2000,1,0
2000377644,5,4,2,4,1754,878,0,other,HT,HT,MI,T,W,2000,10,0
2000377651,1,1,1,1,3735,1150,0,fish,CO,CO,MI,T,W,2000,11,0
2000391547,1,1,1,1,15017,443,0,shell,JP,HK,CH,T,W,2000,5,0
2000409422,1,1,1,1,2405,31024,0,fish,ID,SG,MI,T,W,2004,6,0
2000426562,1,1,0,1,35,100,0,shell,VU,VU,AN,S,W,2000,7,0
2000433325,1,1,1,1,118,17970,0,mammal,BE,PT,AT,T,W,2000,3,0
2000667419,4,1,1,4,5,20,0,shell,XX,AE,NY,T,W,2000,8,1
2000694781,1,1,1,1,1,0,0,mammal,VN,VN,DU,P,W,2000,1,1
2000695615,2,1,1,2,2,100,0,reptile,NG,NG,NY,non-standard value,U,2000,1,1
2000695674,1,1,1,1,1216,1004,0,amphibian,EC,EC,NW,T,W,2000,1,0
2000696388,1,1,1,1,1,10,0,reptile,NG,NG,CH,P,W,2000,1,1
2000696726,1,1,1,1,1,485,0,reptile,US,HK,AN,T,W,2000,1,1
2000696855,2,1,0,1,7353,2621,0,shell,PH,PH,HA,T,W,2000,1,0
2000696933,1,1,1,1,19,0,0,bird,PG,PG,HA,non-standard value,W,2000,1,0
2000697088,1,1,1,1,196,1752,0,mammal,US,CN,BA,T,W,2000,1,0
2000697091,2,1,1,2,6,0,0,mammal,ES,ES,BA,T,W,2000,1,0
2000697172,5,1,1,5,6,300,0,mammal,ZW,ZW,HN,non-standard value,W,2000,1,0
2000697179,6,1,1,6,6,300,0,mammal,ZW,ZW,HN,non-standard value,W,2000,1,0
2000697483,1,1,0,1,3,1210,0,fish,MX,MX,SY,T,W,2000,1,0
2000697644,12,1,1,11,22897,26008,0,shell,MG,MG,SY,T,W,2000,1,0
2000697839,1,1,0,1,5190,311,0,shell,JP,HK,BO,T,W,2000,1,0
2000697848,2,1,1,2,144,5724,0,reptile,ID,IT,BO,T,W,2000,1,0
2000697864,1,1,0,1,25600,2560,0,shell,JP,HK,BO,T,W,2000,1,0
2000697881,1,1,0,1,30852,1785,0,shell,ID,HK,BO,T,W,2000,1,0
2000697900,2,1,0,1,13141,232086,0,shell,JP,TW,BO,T,W,2000,1,0
2000697902,2,1,0,1,22932,1834,0,shell,ID,HK,BO,T,W,2000,1,0
2000697909,1,1,0,1,1400,10416,0,shell,JP,LK,BO,T,W,2000,1,0
2000697928,1,1,1,1,5000,7250,0,shell,CN,HK,HA,T,W,2000,1,0
2000698059,1,1,0,1,5211,140,0,shell,ID,HK,BO,T,W,2000,1,0
2000698099,2,1,1,2,2,100,0,mammal,ES,ES,HN,non-standard value,W,2000,1,0
2000698122,1,1,1,1,1,1475,0,mammal,CA,CA,HN,non-standard value,W,2000,1,0
2000698372,2,1,1,2,2,100,0,mammal,ZW,ZW,HN,non-standard value,W,2000,1,0
2000698511,1,1,1,1,2,400,0,mammal,CA,CA,BN,non-standard value,W,2000,1,0
2000698566,2,1,1,2,5,618,0,mammal,CA,CA,BN,T,W,2000,1,0
2000698724,1,1,1,1,1,1500,0,bird,SA,CA,BN,non-standard value,F,2000,1,0
2000698836,2,1,1,2,2,0,0,mammal,CA,CA,BN,non-standard value,W,2000,1,0
2000699035,1,1,1,1,648000,5190,0,shell,BB,KR,NW,T,W,2000,1,0
